title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
FlatOut 2;Xbox;Vivendi Games;Aug  1, 2006;73.0;38.0;22.0;16.0;0.0;7.2;5.0;3.0;1.0;1.0;Bugbear;Driving, Demolition Derby;8  Online;T;;;;https://www.metacritic.com/game/xbox/flatout-2
Painkiller: Hell Wars;Xbox;DreamCatcher Interactive;Jul 24, 2006;68.0;33.0;14.0;17.0;2.0;7.6;6.0;2.0;3.0;1.0;People Can Fly;Action, Shooter, First-Person, Fantasy;8  Online;M;;;;https://www.metacritic.com/game/xbox/painkiller-hell-wars
Warpath;Xbox;Groove Games;Jul 24, 2006;53.0;19.0;0.0;13.0;6.0;tbd;0.0;0.0;0.0;0.0;Digital Extremes;Action, Shooter, First-Person, Sci-Fi;16  Online;T;;;;https://www.metacritic.com/game/xbox/warpath
World War II Combat: Iwo Jima;Xbox;Groove Games;Jul 21, 2006;25.0;4.0;0.0;0.0;4.0;5.6;1.0;0.0;0.0;1.0;Direct Action Games;Action, Shooter, First-Person, Historic;16  Online;M;;;;https://www.metacritic.com/game/xbox/world-war-ii-combat-iwo-jima
NCAA Football 07;Xbox;EA Sports;Jul 18, 2006;88.0;20.0;20.0;0.0;0.0;6.9;6.0;4.0;1.0;1.0;EA Sports;Sports, Traditional, Football, Sim;2  Online;E;;;;https://www.metacritic.com/game/xbox/ncaa-football-07
IHRA Drag Racing: Sportsman Edition;Xbox;Bethesda Softworks;Jun 28, 2006;35.0;4.0;0.0;0.0;4.0;tbd;0.0;0.0;0.0;0.0;Bethesda Softworks;Driving, Racing, Drag;1-2;E10+;;;;https://www.metacritic.com/game/xbox/ihra-drag-racing-sportsman-edition
AMF Xtreme Bowling;Xbox;Bethesda Softworks;Jun 28, 2006;34.0;5.0;0.0;1.0;4.0;6.8;1.0;1.0;0.0;0.0;Mud Duck Productions;Sports, Alternative, Bowling;1-8;E;;;;https://www.metacritic.com/game/xbox/amf-xtreme-bowling
Crusty Demons;Xbox;Evolved Games;Jun 27, 2006;51.0;21.0;1.0;13.0;7.0;6.5;2.0;2.0;0.0;0.0;Climax Group;Driving, Racing, Motorcycle, Motocross;6  Online;M;;;;https://www.metacritic.com/game/xbox/crusty-demons
NFL Head Coach;Xbox;EA Sports;Jun 20, 2006;69.0;26.0;8.0;16.0;2.0;7.1;2.0;0.0;2.0;0.0;EA Tiburon;Sports, Traditional, Football, Management;2  Online;E;;;;https://www.metacritic.com/game/xbox/nfl-head-coach
Urban Chaos: Riot Response;Xbox;Eidos Interactive;Jun 13, 2006;72.0;34.0;20.0;13.0;1.0;8.5;5.0;5.0;0.0;0.0;Rocksteady Studios;Action, Shooter, First-Person, Modern;8  Online;M;;;;https://www.metacritic.com/game/xbox/urban-chaos-riot-response
And 1 Streetball;Xbox;Ubisoft;Jun  6, 2006;46.0;22.0;1.0;8.0;13.0;7.9;7.0;7.0;0.0;0.0;Black Ops Entertainment;Sports, Traditional, Basketball, Arcade;2  Online;E10+;;;;https://www.metacritic.com/game/xbox/and-1-streetball
Cars;Xbox;THQ;Jun  6, 2006;70.0;22.0;6.0;16.0;0.0;tbd;0.0;0.0;0.0;0.0;Rainbow Studios;Driving, Mission-based;1-2;E;;;;https://www.metacritic.com/game/xbox/cars
MLB SlugFest 2006;Xbox;Midway;Jun  5, 2006;59.0;15.0;0.0;13.0;2.0;tbd;0.0;0.0;0.0;0.0;Blue Shift;Sports, Traditional, Baseball, Arcade;1-2;E10+;;;;https://www.metacritic.com/game/xbox/mlb-slugfest-2006
Hitman: Blood Money;Xbox;Eidos Interactive;May 30, 2006;81.0;27.0;24.0;3.0;0.0;8.9;6.0;6.0;0.0;0.0;Io Interactive;Action Adventure, Modern;1 Player;M;;;;https://www.metacritic.com/game/xbox/hitman-blood-money
Stacked with Daniel Negreanu;Xbox;Myelin Media;May 30, 2006;61.0;20.0;2.0;16.0;2.0;tbd;2.0;1.0;0.0;1.0;5000ft;Miscellaneous, Parlor, Gambling;10  Online;T;;;;https://www.metacritic.com/game/xbox/stacked-with-daniel-negreanu
