title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Inazuma Eleven 3: Bomb Blast;3DS;Nintendo;Sep 27, 2013;72;18;6;12;0;7.7;2;1;1;0;Level 5;;;;;;;https://www.metacritic.com/game/3ds/inazuma-eleven-3-bomb-blast
Family Table Tennis 3D;3DS;Arc System Works;Sep 26, 2013;;;;;;tbd;;;;;Arc System Works;;;;;;;https://www.metacritic.com/game/3ds/family-table-tennis-3d
Carps & Dragons;3DS;Abylight;Sep 26, 2013;;;;;;tbd;1;0;0;1;Abylight;;;;;;;https://www.metacritic.com/game/3ds/carps-dragons
Mystery Murders: The Sleeping Palace;3DS;Microvalue;Sep 26, 2013;;;;;;tbd;;;;;Virtual Playground;;;;;;;https://www.metacritic.com/game/3ds/mystery-murders-the-sleeping-palace
FIFA 14: Legacy Edition;3DS;EA Sports;Sep 24, 2013;;;;;;2.0;1;0;0;1;EA Romania;;;;;;;https://www.metacritic.com/game/3ds/fifa-14-legacy-edition
Scribblenauts Unmasked: A DC Comics Adventure;3DS;Warner Bros. Interactive Entertainment;Sep 24, 2013;68;7;1;6;0;6.1;3;0;3;0;5TH Cell;;;;;;;https://www.metacritic.com/game/3ds/scribblenauts-unmasked-a-dc-comics-adventure
Hakuoki: Memories of the Shinsengumi;3DS;Aksys Games;Sep 19, 2013;75;12;6;6;0;7.6;2;2;0;0;Idea Factory;General, Adventure, General, Visual Novel;No Online Multiplayer;M;;;;https://www.metacritic.com/game/3ds/hakuoki-memories-of-the-shinsengumi
AiRace Speed;3DS;QubicGames;Sep 19, 2013;68;12;3;8;1;7.6;1;0;1;0;QubicGames;;;;;;;https://www.metacritic.com/game/3ds/airace-speed
Cut the Rope;3DS;ZeptoLab;Sep 19, 2013;;;;;;tbd;0;0;0;0;ZeptoLab;;;;;;;https://www.metacritic.com/game/3ds/cut-the-rope
Mahjong 3D: Essentials;3DS;TREVA Entertainment GmbH;Sep 19, 2013;;;;;;tbd;;;;;Engine Software;;;;;;;https://www.metacritic.com/game/3ds/mahjong-3d-essentials
Star Wars Pinball;3DS;Zen Studios;Sep 19, 2013;68;10;3;7;0;5.4;1;1;0;0;Zen Studios;;;;;;;https://www.metacritic.com/game/3ds/star-wars-pinball
Rage of the Gladiator;3DS;Gamelion Studios;Sep 19, 2013;88;4;4;0;0;6.4;0;0;0;0;Gamelion Studios;;;;;;;https://www.metacritic.com/game/3ds/rage-of-the-gladiator
Hot Wheels: World's Best Driver;3DS;Warner Bros. Interactive Entertainment;Sep 17, 2013;;;;;;4.5;0;0;0;0;Warner Bros. Interactive Entertainment;;;;;;;https://www.metacritic.com/game/3ds/hot-wheels-worlds-best-driver
Cloudy With a Chance of Meatballs 2;3DS;GameMill Publishing;Sep 17, 2013;;;;;;4.3;0;0;0;0;1st Playable Productions;;;;;;;https://www.metacritic.com/game/3ds/cloudy-with-a-chance-of-meatballs-2
Darts Up 3D;3DS;EnjoyUp Games;Sep  5, 2013;;;;;;tbd;1;0;0;1;EnjoyUp Games;Sports, General, General, Individual, Other;1-4;E;;;;https://www.metacritic.com/game/3ds/darts-up-3d
Funfair Party Games;3DS;Joindots;Aug 22, 2013;;;;;;tbd;;;;;Avanquest Software;;;;;;;https://www.metacritic.com/game/3ds/funfair-party-games
Fish On 3D;3DS;Agetec;Aug 22, 2013;;;;;;tbd;;;;;SIMS;;;;;;;https://www.metacritic.com/game/3ds/fish-on-3d
Wakedas;3DS;CIRCLE Entertainment;Aug 22, 2013;;;;;;tbd;1;1;0;0;CIRCLE Entertainment;;;;;;;https://www.metacritic.com/game/3ds/wakedas
Disney Infinity: Toy Box Challenge;3DS;Disney Interactive Studios;Aug 18, 2013;;;;;;1.1;2;0;1;1;Altron;;;;;;;https://www.metacritic.com/game/3ds/disney-infinity-toy-box-challenge
