title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Pic-a-Pix Deluxe: Small Puzzles 1;Switch;Lightwood Games;Jan 25, 2018;;;;;;tbd;0;0;0;0;Lightwood Games;;;;;;;https://www.metacritic.com/game/switch/pic-a-pix-deluxe-small-puzzles-1
Pic-a-Pix Deluxe: Large Puzzles 1;Switch;Lightwood Games;Jan 25, 2018;;;;;;tbd;0;0;0;0;Lightwood Games;;;;;;;https://www.metacritic.com/game/switch/pic-a-pix-deluxe-large-puzzles-1
Pic-a-Pix Deluxe: Mixed Puzzles 1;Switch;Lightwood Games;Jan 25, 2018;;;;;;tbd;0;0;0;0;Lightwood Games;;;;;;;https://www.metacritic.com/game/switch/pic-a-pix-deluxe-mixed-puzzles-1
Zero Gunner 2-;Switch;Zerodiv;Jan 25, 2018;;;;;;7.4;1;1;0;0;Zerodiv;Action, Shooter, Shoot-'Em-Up, Vertical;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/zero-gunner-2-
Strikers 1945 II;Switch;Zerodiv;Jan 25, 2018;;;;;;tbd;0;0;0;0;Psikyo;Action, Shooter, Shoot-'Em-Up, Vertical;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/strikers-1945-ii
Tachyon Project;Switch;Eclipse Games;Jan 25, 2018;67;6;2;4;0;6.0;0;0;0;0;Eclipse Games;Action, Shooter, Shoot-'Em-Up, Top-Down;Up to 4;E;;;;https://www.metacritic.com/game/switch/tachyon-project
Super One More Jump;Switch;SMG Studio;Jan 25, 2018;81;10;9;1;0;7.9;1;1;0;0;SMG Studio;Action, Platformer, 2D;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/super-one-more-jump
Tennis;Switch;D3Publisher;Jan 25, 2018;28;4;0;0;4;4.0;1;1;0;0;D3Publisher;Sports, Individual, Tennis;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/tennis
Fantasy Hero: Unsigned Legacy;Switch;Arc System Works;Jan 25, 2018;34;7;0;0;7;3.7;0;0;0;0;Arc System Works;Role-Playing, Action RPG;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/switch/fantasy-hero-unsigned-legacy
ACA NeoGeo: World Heroes 2;Switch;Hamster;Jan 25, 2018;;;;;;tbd;0;0;0;0;SNK;Action, Fighting, 2D;No Online Multiplayer;T;;;;https://www.metacritic.com/game/switch/aca-neogeo-world-heroes-2
