title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;category;is_portable;is_exclusive
Sengoku Basara: Samurai Heroes;Wii;Capcom;2010-10-12;65.0;18;5;11;2;86.02;2;2;0;0;Capcom;;;;;;;50-74;0;0
Sengoku Basara: Samurai Heroes;PlayStation 3;Capcom;2010-10-12;61.0;37;4;28;5;82.03;11;10;1;0;Capcom;;;;;;;50-74;0;0
Sengoku Jidai: Shadow of the Shogun;PC;Slitherine;2016-05-19;85.0;6;5;1;0;51.99;1;0;1;0;Byzantine Games;;;;;;;75-89;0;1
Senko no Ronde 2;PlayStation 4;Degica;2017-09-07;72.0;7;2;5;0;0.0;0;0;0;0;G.Rev;Action, 2D, Fighting;1-4;T;;;;50-74;0;0
Senran Kagura 2: Deep Crimson;3DS;XSEED Games;2015-09-15;58.0;28;4;18;6;65.0;14;12;1;1;Tamsoft;Beat-'Em-Up, Action, 2D;1-4;M;Kenichiro Takaki;;;50-74;1;1
Senran Kagura Burst;3DS;XSEED Games;2013-11-14;62.0;27;6;19;2;71.99;11;6;5;0;Tamsoft;;;;;;;50-74;1;1
Senran Kagura Reflexions;Switch;XSEED Games;2018-09-13;39.0;17;0;6;11;78.01;8;7;0;1;Honey Parade Games;;;;;;;50-;0;1
Senran Kagura Shinovi Versus;PC;XSEED Games;2016-06-01;70.0;11;4;7;0;70.0;8;3;5;0;Tamsoft, Marvelous AQL;;;;;;;50-74;0;1
Senran Kagura: Bon Appetit!;PlayStation Vita;XSEED Games;2014-11-11;61.0;16;2;11;3;71.99;5;4;1;0;Meteorise;;;;;;;50-74;1;1
Senran Kagura: Bon Appetit! - Full Course;PC;XSEED Games;2016-11-10;62.0;11;2;7;2;55.0;1;0;1;0;Meteorise;;No Online Multiplayer;;;;;50-74;0;0
Senran Kagura: Estival Versus;PC;XSEED Games;2017-03-17;71.0;7;3;4;0;70.0;1;1;0;0;Tamsoft;;;;;;;50-74;0;0
Senran Kagura: Estival Versus;PlayStation 4;XSEED Games;2016-03-15;67.0;25;10;14;1;76.99;24;16;7;1;Tamsoft, Marvelous Inc.;Action, General;1-16;M;;;;50-74;0;0
Senran Kagura: Peach Beach Splash;PlayStation 4;XSEED Games;2017-09-12;70.0;25;11;13;1;71.99;9;5;2;2;Tamsoft, Marvelous Inc.;Shooter, Arcade, Action, Third-Person;1-16;M;;Yukinori Kitajima;;50-74;0;0
Sensible World of Soccer;Xbox 360;Codemasters;2007-12-19;81.0;15;14;1;0;73.98;8;5;1;2;Codemasters;Football, Sim, Team, Sports, Traditional;1-4;E;;;;75-89;0;1
Sentinel: Descendants in Time;PC;The Adventure Company;2004-12-14;71.0;16;9;6;1;0.0;0;0;0;0;Detalion;Adventure, General;No Online Multiplayer;E;;;;50-74;0;1
Septerra Core: Legacy of the Creator;PC;Monolith Productions;1999-10-31;72.0;19;9;8;2;76.99;13;11;1;1;Valkyrie Studios;General, Role-Playing;No Online Multiplayer;T;;;;50-74;0;1
Seraph;PC;Dreadbit;2016-09-20;80.0;4;3;1;0;70.0;2;0;2;0;Dreadbit;;No Online Multiplayer;;;;;75-89;0;0
Serial Cleaner;Switch;Curve Digital;2017-11-30;75.0;6;3;3;0;71.02;1;1;0;0;iFun4all;Action Adventure, Action, General, Linear;No Online Multiplayer;M;;;;75-89;0;0
Serial Cleaner;PC;iFun4all;2017-07-17;64.0;10;2;6;2;73.98;2;1;1;0;iFun4all;;No Online Multiplayer;;;;;50-74;0;0
Serial Cleaner;Xbox One;Curve Digital;2017-07-14;63.0;12;2;9;1;82.03;0;0;0;0;iFun4all, Curve Digital;;;;;;;50-74;0;0
Serial Cleaner;PlayStation 4;Curve Digital;2017-07-11;72.0;22;14;7;1;71.02;1;1;0;0;iFun4all, Curve Digital;;;;;;;50-74;0;0
Serious Sam;Xbox;Gotham Games;2002-11-10;75.0;22;16;6;0;82.03;6;6;0;0;Croteam;Shooter, Action, Sci-Fi, First-Person;1-4;M;;;;75-89;0;1
Serious Sam 3: BFE;Xbox 360;Mastertronic;2012-10-17;63.0;11;2;8;1;76.99;8;5;3;0;Croteam;Shooter, Action, Arcade, Sci-Fi, First-Person;No Online Multiplayer;M;;;;50-74;0;0
Serious Sam 3: BFE;PC;Devolver Digital;2011-11-22;72.0;53;27;26;0;82.03;205;170;28;7;Croteam;;No Online Multiplayer;;;Alen Ladavac;;50-74;0;0
Serious Sam Advance;GBA;Global Star Software;2004-04-12;51.0;9;1;5;3;71.99;7;4;0;3;Climax Group;Shooter, Action, Sci-Fi, First-Person;1-4;M;;;;50-74;1;1
Serious Sam Double D;PC;Devolver Digital;2011-08-30;66.0;21;9;10;2;75.0;12;6;6;0;Mommy's Best Games;;;;;;;50-74;0;1
