title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;category;is_portable;is_exclusive
#IDARB;Xbox One;Other Ocean Interactive;2015-01-30;77.0;31;23;8;0;70.0;21;17;3;1;Other Ocean Interactive;;;;;;;75-89;0;1
#KILLALLZOMBIES;PlayStation 4;Beatshapers;2014-10-28;63.0;6;0;6;0;66.99;2;2;0;0;Beatshapers;;;;;;;50-74;0;0
#KILLALLZOMBIES;Xbox One;Digerati Distribution;2016-08-10;53.0;9;0;6;3;0.0;1;0;0;1;Beatshapers;;;;;;;50-74;0;0
'Splosion Man;Xbox 360;Twisted Pixel Games;2009-07-22;84.0;52;48;4;0;78.01;16;14;1;1;Twisted Pixel Games;Action, Platformer, General, 2D;1-4;E10+;;;;75-89;0;1
'n Verlore Verstand;Xbox One;Skobbejak Games;2017-04-21;57.0;4;0;4;0;0.0;0;0;0;0;Skobbejak Games;Adventure, First-Person, 3D;No Online Multiplayer;E;;;;50-74;0;0
.detuned;PlayStation 3;Sony Interactive Entertainment;2009-10-15;46.0;9;0;4;5;36.99;16;0;4;12;.theprodukkt;Action, Rhythm, Music, Miscellaneous;No Online Multiplayer;E;;;;50-;0;1
.hack//G.U. Last Recode;PC;Bandai Namco Games;2017-11-03;69.0;7;3;4;0;71.99;5;4;0;1;CyberConnect2;Compilation, Miscellaneous;No Online Multiplayer;T;;;;50-74;0;0
.hack//G.U. Last Recode;PlayStation 4;Bandai Namco Games;2017-11-03;76.0;21;14;7;0;78.01;6;6;0;0;CyberConnect2;Compilation, Miscellaneous;No Online Multiplayer;T;;;;75-89;0;0
.hack//G.U. vol. 1//Rebirth;PlayStation 2;Bandai Namco Games;2006-10-24;69.0;21;8;13;0;81.02;4;2;1;1;CyberConnect2;Action RPG, Role-Playing;No Online Multiplayer;T;;;;50-74;0;1
.hack//G.U. vol. 2//Reminisce;PlayStation 2;Bandai Namco Games;2007-05-08;61.0;21;3;17;1;82.97;1;1;0;0;CyberConnect2;Action RPG, Role-Playing;No Online Multiplayer;T;;;;50-74;0;1
.hack//G.U. vol. 3//Redemption;PlayStation 2;Bandai Namco Games;2007-09-10;60.0;15;3;10;2;85.0;2;2;0;0;CyberConnect2;Action RPG, Role-Playing;No Online Multiplayer;T;;;;50-74;0;1
.hack//Infection Part 1;PlayStation 2;Bandai;2003-02-10;75.0;35;23;12;0;82.97;35;30;4;1;CyberConnect2;Action RPG, Role-Playing;No Online Multiplayer;T;;;;75-89;0;1
.hack//Mutation Part 2;PlayStation 2;Bandai;2003-05-06;76.0;24;17;7;0;85.0;47;44;1;2;CyberConnect2;Action RPG, Role-Playing;No Online Multiplayer;T;;;;75-89;0;1
.hack//Outbreak Part 3;PlayStation 2;Bandai;2003-09-09;70.0;23;9;14;0;82.97;9;8;0;1;CyberConnect2;Action RPG, Role-Playing;No Online Multiplayer;T;Hiroto Niizato;;;50-74;0;1
.hack//Quarantine Part 4;PlayStation 2;Bandai;2004-01-14;70.0;20;8;12;0;82.03;8;8;0;0;CyberConnect2;Action RPG, Role-Playing;No Online Multiplayer;T;Hiroto Niizato;;;50-74;0;1
0 Day Attack on Earth;Xbox 360;Square Enix;2009-12-23;41.0;19;0;5;14;45.0;2;0;0;2;Gulti;;;;;;;50-;0;1
007 Legends;PC;Activision;2012-11-01;26.0;5;0;0;5;26.0;25;4;6;15;Eurocom Entertainment Software;;;;;Robin Matthews, Bruce Feirstein;Kevin Kiner, David Arnold;50-;0;0
007 Legends;PlayStation 3;Activision;2012-10-16;41.0;22;0;7;15;41.02;12;1;3;8;Eurocom Entertainment Software;Shooter, Action, Modern, Arcade, First-Person;1-16;T;;Robin Matthews, Bruce Feirstein;Kevin Kiner, David Arnold;50-;0;0
007 Legends;Xbox 360;Activision;2012-10-16;45.0;49;2;15;32;43.98;18;4;3;11;Eurocom Entertainment Software;Shooter, Action, Modern, Arcade, First-Person;1-16;T;;Robin Matthews, Bruce Feirstein;Kevin Kiner, David Arnold;50-;0;0
007 Racing;Playstation;Electronic Arts;2000-11-20;51.0;16;1;9;6;46.99;2;0;0;2;Eutechnyx;;;;;;;50-74;0;1
007: NightFire;PC;Electronic Arts;2002-11-28;59.0;14;4;6;4;60.0;9;3;3;3;Gearbox Software;Shooter, Action, Modern, Arcade, First-Person;1-32;T;;;;50-74;0;1
007: Quantum of Solace;DS;Activision;2008-11-04;65.0;10;1;8;1;0.0;0;0;0;0;Vicarious Visions;;;;;;;50-74;1;0
007: Quantum of Solace;Wii;Activision;2008-11-04;54.0;11;1;8;2;73.01;6;4;1;1;Treyarch, Beenox;;;;;;;50-74;0;0
007: Quantum of Solace;PC;Activision;2008-11-04;70.0;18;5;13;0;61.02;14;4;6;4;Treyarch, Beenox;Shooter, Action, Modern, Arcade, General, First-Person;1-16;T;;;;50-74;0;0
007: Quantum of Solace;PlayStation 3;Activision;2008-11-04;65.0;42;9;30;3;66.99;14;4;6;4;Treyarch;Shooter, Action, Modern, Arcade, General, First-Person;1-16;T;;;;50-74;0;0
007: Quantum of Solace;Xbox 360;Activision;2008-11-04;65.0;69;16;50;3;71.02;19;10;7;2;Treyarch;Shooter, Action, Modern, Arcade, General, First-Person;1-16;T;;;;50-74;0;0
007: The World is Not Enough;Playstation;Electronic Arts;2000-11-06;61.0;11;4;7;0;68.01;25;13;6;6;Black Ops Entertainment;;;;;;;50-74;0;0
007: The World is Not Enough;Nintendo 64;Electronic Arts;2000-11-01;81.0;16;14;2;0;78.01;15;6;8;1;Eurocom Entertainment Software;Shooter, Action, Modern, First-Person;1-4;T;;;;75-89;0;0
0RBITALIS;PC;Mastertronic;2015-05-28;73.0;9;4;5;0;73.01;0;0;0;0;Alan Zucconi;;No Online Multiplayer;;;;;50-74;0;1
1 vs. 100;DS;DSI Games;2008-07-03;38.0;5;0;0;5;31.99;0;0;0;0;ECI;Trivia / Game Show, Miscellaneous;1-4;E;;;;50-;1;0
1-2-Switch;Switch;Nintendo;2017-03-03;58.0;63;4;48;11;48.01;102;26;39;37;Nintendo;Miscellaneous, Party / Minigame;No Online Multiplayer;E10+;;;;50-74;0;1
10 Second Ninja;PC;Mastertronic;2014-03-05;72.0;13;7;5;1;73.98;1;0;1;0;GameDesignDan;;;;;;;50-74;0;1
10 Second Ninja X;Xbox One;Curve Digital;2016-07-19;82.0;10;8;1;1;45.0;0;0;0;0;GameDesignDan;;;;;;;75-89;0;0
10 Second Ninja X;PlayStation 4;Curve Digital;2016-07-19;76.0;16;11;5;0;53.01;6;2;3;1;GameDesignDan;;;;;;;75-89;0;0
10,000,000;PC;EightyEight Games;2013-01-15;67.0;5;2;3;0;71.99;12;6;5;1;EightyEight Games LTD;;No Online Multiplayer;;;;;50-74;0;1
100 Classic Books;DS;Nintendo;2010-06-14;70.0;7;4;2;1;60.0;1;1;0;0;Genius Sonority Inc.;;;;;;;50-74;1;1
1000 Tiny Claws;Playstation Portable;Mediatonic;2011-10-04;76.0;8;4;3;1;0.0;0;0;0;0;Mediatonic;;;;;;;75-89;1;1
1001 BlockBusters;DS;Selectsoft;2011-10-13;55.0;4;0;2;2;0.0;1;0;0;1;;;;;;;;50-74;1;1
1001 Spikes;3DS;Nicalis;2014-06-03;73.0;4;3;1;0;68.01;1;1;0;0;Nicalis;Action, Platformer, General, 2D;No Online Multiplayer;T;;;;50-74;1;0
1001 Spikes;PC;Nicalis;2014-06-03;80.0;4;4;0;0;68.98;2;2;0;0;Nicalis;;;;;;;75-89;0;0
1001 Spikes;Wii U;Nicalis;2014-06-03;83.0;6;5;1;0;71.02;3;1;2;0;Nicalis;;;;;;;75-89;0;0
1001 Spikes;PlayStation 4;Nicalis;2014-06-03;78.0;8;6;2;0;66.02;2;1;1;0;Nicalis;;;;;;;75-89;0;0
100ft Robot Golf;PlayStation 4;No Goblin;2017-09-27;56.0;18;3;12;3;58.98;2;1;1;0;No Goblin;;;;;;;50-74;0;0
101 Ways to Die;PlayStation 4;Vision Games Publishing LTD;2016-03-22;60.0;6;1;5;0;50.0;1;1;0;0;4 Door Lemon;;;;;;;50-74;0;0
101 Ways to Die;Xbox One;Vision Games Publishing LTD;2016-03-18;71.0;6;2;4;0;0.0;2;0;2;0;4 Door Lemon;;;;;;;50-74;0;0
101-in-1 Explosive Megamix;Wii;Atlus;2011-10-13;16.0;5;0;0;5;35.0;2;0;0;2;Nordcurrent;Party / Minigame, Action, Miscellaneous, Puzzle;No Online Multiplayer;E;;;;50-;0;0
101-in-1 Explosive Megamix;DS;Atlus;2009-04-21;46.0;13;0;8;5;0.0;0;0;0;0;Nordcurrent;;;;;;;50-;1;0
101-in-1 Sports Party Megamix;Wii;Atlus;2011-01-13;41.0;7;1;3;3;0.0;0;0;0;0;Nordcurrent;;;;;;;50-;0;1
1080: Avalanche;Gamecube;Nintendo;2003-12-01;73.0;37;16;19;2;78.98;25;20;1;4;Nintendo;Snowboarding, Sports, Alternative;1-4;E;;;;50-74;0;1
11-11: Memories Retold;Xbox One;Bandai Namco Games;2018-11-09;77.0;9;6;3;0;76.99;2;2;0;0;Digixart Entertainment;Adventure, General;No Online Multiplayer;T;;;;75-89;0;0
11-11: Memories Retold;PC;Bandai Namco Games;2018-11-08;76.0;10;6;4;0;68.98;0;0;0;0;Digixart Entertainment;Adventure, General;No Online Multiplayer;T;;;;75-89;0;0
11-11: Memories Retold;PlayStation 4;Bandai Namco Games;2018-11-09;77.0;32;21;11;0;82.97;2;2;0;0;Digixart Entertainment;;No Online Multiplayer;;;;;75-89;0;0
12 is Better Than 6;PC;Pinkapp Games;2015-11-20;74.0;5;4;1;0;66.99;11;6;3;2;Ink Stains Games;;No Online Multiplayer;;;;;50-74;0;1
140;PC;Jeppe Carlsen;2013-10-16;80.0;6;5;1;0;73.01;23;11;11;1;Jeppe Carlsen;;;;;;;75-89;0;0
140;PlayStation 4;Abstraction Games;2016-09-06;72.0;6;4;1;1;0.0;0;0;0;0;Jeppe Carlsen;;;;;;;50-74;0;0
15 Days;PC;DTP Entertainment;2015-04-01;63.0;6;2;3;1;48.01;1;0;0;1;House of Tales, DTP Entertainment;;;;;;;50-74;0;1
1503 A.D. - The New World;PC;Electronic Arts;2003-03-23;74.0;14;6;8;0;76.02;5;4;0;1;Sunflowers Interactive;Real-Time, Strategy, General, Historic;1-8;T;;;;50-74;0;1
1701 A.D.;PC;Aspyr;2006-11-06;79.0;30;24;6;0;78.01;12;10;2;0;Related Designs;Real-Time, Strategy, General, Historic;1-4;E10+;;;;75-89;0;1
18 Wheeler: American Pro Trucker;PlayStation 2;Acclaim;2001-11-14;61.0;11;0;10;1;56.02;12;4;2;6;Acclaim Studios Cheltenham;Arcade, Driving, Racing;1-4;E;;;;50-74;0;0
18 Wheeler: American Pro Trucker;Dreamcast;Sega;2001-05-22;67.0;14;3;10;1;68.01;8;5;2;1;Sega;;;;;;;50-74;0;0
18 Wheeler: American Pro Trucker;Gamecube;Acclaim;2002-02-18;52.0;17;0;9;8;68.01;3;1;2;0;Acclaim Studios Cheltenham;Arcade, Driving, Racing;1-4;E;Keiichi Matsunami;;;50-74;0;0
1849;PC;SomaSim;2014-05-08;60.0;6;0;6;0;55.0;1;1;0;0;SomaSim;;;;;;;50-74;0;1
187 Ride or Die;PlayStation 2;Ubisoft;2005-08-23;52.0;33;4;17;12;70.0;5;4;0;1;Ubisoft;Driving, Car Combat;1-8;M;;;;50-74;0;0
187 Ride or Die;Xbox;Ubisoft;2005-08-24;51.0;40;3;21;16;68.98;7;4;1;2;Ubisoft Paris;Driving, Car Combat;1-4;M;;;;50-74;0;0
1942: Joint Strike;PlayStation 3;Capcom;2008-07-24;69.0;20;6;14;0;58.98;4;3;1;0;Backbone Entertainment;Shooter, Action, Vertical, Shoot-'Em-Up, Scrolling;1-4;E10+;;;;50-74;0;0
1942: Joint Strike;Xbox 360;Capcom;2008-07-23;68.0;36;11;22;3;61.99;4;3;0;1;Backbone Entertainment;Shooter, Action, Vertical, Shoot-'Em-Up, Scrolling;1-4;E10+;;;;50-74;0;0
1950s Lawn Mower Kids;DS;Zordix;2011-11-03;43.0;7;0;1;6;0.0;1;1;0;0;Zordix;;;;;;;50-;1;1
1954: Alcatraz;PC;Daedalic Entertainment;2014-03-11;58.0;24;1;20;3;63.01;3;0;3;0;Daedalic Entertainment;;;;;;;50-74;0;1
1979 Revolution: Black Friday;Switch;Digerati Distribution;2018-08-02;75.0;6;2;4;0;76.99;1;1;0;0;iNK Stories;Adventure, General;No Online Multiplayer;M;;;;75-89;0;0
1979 Revolution: Black Friday;PlayStation 4;Digerati Distribution;2018-07-31;68.0;9;4;4;1;48.98;2;1;0;1;iNK Stories;Adventure, General;No Online Multiplayer;M;;;;50-74;0;0
1979 Revolution: Black Friday;PC;iNK Stories;2016-04-04;80.0;25;22;3;0;76.02;9;7;1;1;N-Fusion Interactive Entertainment Corp., iNK Stories;;No Online Multiplayer;;;;;75-89;0;0
1nsane;PC;Codemasters;2001-02-05;69.0;14;7;7;0;76.02;6;5;1;0;Invictus;Driving, Automobile, Simulation, Racing, Rally / Offroad;1-8;E;;;;50-74;0;1
2 Fast 4 Gnomz;3DS;QubicGames;2012-11-01;65.0;5;0;5;0;0.0;0;0;0;0;QubicGames;Action, Platformer, 2D;No Online Multiplayer;E;;;;50-74;1;0
2002 FIFA World Cup;Gamecube;Electronic Arts;2002-04-30;78.0;9;6;3;0;76.99;3;1;1;1;EA Sports;Football, Sim, Sports, Traditional;1-4;E;;;;75-89;0;0
2002 FIFA World Cup;PC;Electronic Arts;2002-04-30;80.0;9;5;4;0;76.99;11;9;1;1;EA Sports;Football, Sim, Team, Sports, Traditional;1-16;E;;;;75-89;0;0
2002 FIFA World Cup;Xbox;Electronic Arts;2002-04-22;79.0;17;11;6;0;78.01;2;2;0;0;Software Creations;Football, Sim, Sports, Traditional;1-4;E;;;;75-89;0;0
2002 FIFA World Cup;PlayStation 2;Electronic Arts;2002-04-22;73.0;19;8;10;1;56.02;9;3;2;4;EA Sports;Football, Sim, Sports, Traditional;1-8;E;;;;50-74;0;0
2010 FIFA World Cup South Africa;Playstation Portable;Electronic Arts;2010-04-26;69.0;11;4;7;0;73.98;0;0;0;0;Electronic Arts;;;;;;;50-74;1;0
2010 FIFA World Cup South Africa;Wii;Electronic Arts;2010-04-27;70.0;19;8;10;1;66.99;3;2;1;0;Electronic Arts;;;;;;;50-74;0;0
2010 FIFA World Cup South Africa;PlayStation 3;Electronic Arts;2010-04-27;82.0;56;48;8;0;76.99;13;8;4;1;EA Canada;;;;;;;75-89;0;0
2010 FIFA World Cup South Africa;Xbox 360;Electronic Arts;2010-04-27;83.0;61;54;7;0;82.03;4;3;0;1;Electronic Arts;;;;;;;75-89;0;0
2014 FIFA World Cup Brazil;Xbox 360;Electronic Arts;2014-04-15;74.0;29;16;13;0;43.98;28;7;5;16;EA Canada;;;;;;;50-74;0;0
2014 FIFA World Cup Brazil;PlayStation 3;Electronic Arts;2014-04-15;73.0;33;17;16;0;43.01;25;6;5;14;EA Canada;Football, Sim, Team, Sports, Traditional;1-4;E;;;;50-74;0;0
2048;3DS;Cosmigo;2014-06-19;60.0;5;0;5;0;0.0;0;0;0;0;Cosmigo;;;;;;;50-74;1;0
2064: Read Only Memories;Xbox One;MidBoss;2018-01-17;71.0;5;2;3;0;0.0;1;1;0;0;MidBoss;Adventure, Point-and-Click;No Online Multiplayer;M;;;;50-74;0;0
2064: Read Only Memories;PlayStation 4;MidBoss;2017-01-17;76.0;14;9;5;0;34.0;185;59;3;123;MidBoss;Adventure, Point-and-Click, General;No Online Multiplayer;M;;;;75-89;0;0
2064: Read Only Memories INTEGRAL;Switch;MidBoss;2018-07-26;74.0;7;3;4;0;75.0;1;1;0;0;MidBoss;Adventure, Point-and-Click;No Online Multiplayer;M;;;;50-74;0;1
20XX;PlayStation 4;Fire Hose Games;2018-07-10;77.0;6;3;3;0;73.01;3;1;1;1;Batterystaple Games;Action, Platformer, 2D;Online Multiplayer;E10+;;;;75-89;0;0
20XX;Xbox One;Fire Hose Games;2018-07-11;79.0;6;5;1;0;0.0;1;1;0;0;Batterystaple Games;;1-4;;;;;75-89;0;0
20XX;Switch;Fire Hose Games;2018-07-10;77.0;14;9;5;0;78.98;3;1;1;1;Batterystaple Games;Action, Platformer, 2D;Online Multiplayer;E10+;;;;75-89;0;0
24: The Game;PlayStation 2;2K Games;2006-02-28;62.0;53;12;34;7;82.03;19;14;4;1;SCE Studio Cambridge;Action Adventure, Modern;No Online Multiplayer;M;;Duppy Demetrius, Chris Sorrell;Sean Callery;50-74;0;1
25 to Life;PC;Eidos Interactive;2006-01-17;39.0;12;1;2;9;51.02;6;2;0;4;Ritual Entertainment, Avalanche Software;Shooter, Action, Modern, Arcade, Third-Person;1-16;M;;;;50-;0;0
25 to Life;Xbox;Eidos Interactive;2006-01-17;41.0;20;0;6;14;71.99;3;2;0;1;Ritual Entertainment, Avalanche Software;Shooter, Action, Modern, Third-Person;1-16;M;;;;50-;0;0
25 to Life;PlayStation 2;Eidos Interactive;2006-01-17;39.0;23;0;5;18;48.98;17;7;0;10;Ritual Entertainment, Avalanche Software;Shooter, Action, Modern, Third-Person;1-16;M;;;;50-;0;0
2Dark;Xbox One;Gloomywood;2017-03-10;65.0;9;1;8;0;78.01;1;0;1;0;Gloomywood;Action Adventure, General;No Online Multiplayer;M;;;;50-74;0;0
2Dark;PC;Gloomywood;2017-03-10;68.0;14;4;9;1;53.98;4;1;1;2;Gloomywood;Action Adventure, General;No Online Multiplayer;M;;;;50-74;0;0
2Dark;PlayStation 4;Gloomywood;2017-03-10;54.0;19;3;10;6;75.0;2;1;1;0;Gloomywood;Action Adventure, General;No Online Multiplayer;M;;;;50-74;0;0
3 on 3 NHL Arcade;PlayStation 3;Electronic Arts;2009-02-05;66.0;20;7;12;1;71.02;4;2;1;1;EA Canada;Arcade, Team, Sports, Traditional, Ice Hockey;1-8;E;;;;50-74;0;0
3 on 3 NHL Arcade;Xbox 360;Electronic Arts;2009-02-11;64.0;21;6;13;2;71.99;5;4;1;0;EA Canada;Arcade, Team, Sports, Traditional, Ice Hockey;1-8;E;;;;50-74;0;0
300: March to Glory;Playstation Portable;Warner Bros. Interactive Entertainment;2007-02-27;55.0;31;3;18;10;73.01;8;2;4;2;Collision Studios;Beat-'Em-Up, Action, 2D;No Online Multiplayer;M;;;;50-74;1;1
36 Fragments of Midnight;Switch;Ratalaika Games;2017-09-14;37.0;6;0;1;5;34.0;5;0;0;5;Ratalaika Games;Action, Platformer, 2D;No Online Multiplayer;E;;;;50-;0;0
39 Days to Mars;PC;It's Anecdotal;2018-04-25;71.0;10;3;7;0;46.02;1;1;0;0;It's Anecdotal;;No Online Multiplayer;;;;;50-74;0;1
3D After Burner II;3DS;Sega;2015-01-15;81.0;12;11;1;0;82.03;2;1;1;0;M2;;;;;;;75-89;1;1
3D Classics: Kid Icarus;3DS;Nintendo;2012-03-23;77.0;9;5;4;0;73.01;7;3;3;1;Arika;;;;;;;75-89;1;1
3D Classics: Kirby's Adventure;3DS;Nintendo;2011-11-17;77.0;7;5;2;0;78.98;13;11;2;0;Arika;Action, Platformer, 2D;No Online Multiplayer;E;;;;75-89;1;1
3D Classics: TwinBee;3DS;Nintendo;2011-09-22;68.0;7;3;2;2;75.0;2;2;0;0;Arika;Shooter, Action, Vertical, Shoot-'Em-Up, Scrolling;No Online Multiplayer;E;;;;50-74;1;1
3D Classics: Urban Champion;3DS;Nintendo;2011-08-18;37.0;7;0;1;6;58.01;5;2;2;1;Arika;;;;;;;50-;1;1
3D Classics: Xevious;3DS;Nintendo;2011-07-21;56.0;10;2;5;3;58.01;3;2;0;1;Arika;;;;;;;50-74;1;1
3D Dot Game Heroes;PlayStation 3;Atlus;2010-05-11;77.0;66;47;19;0;82.03;16;8;8;0;Silicon Studio;Action RPG, Role-Playing;No Online Multiplayer;E10+;;;;75-89;0;1
3D Fantasy Zone;3DS;Sega;2015-02-12;79.0;6;4;2;0;71.99;2;1;1;0;M2;;;;;;;75-89;1;1
3D Galaxy Force II;3DS;Sega;2013-12-12;77.0;5;3;2;0;78.98;0;0;0;0;M2;;;;;;;75-89;1;1
3D Gunstar Heroes;3DS;Sega;2015-08-20;89.0;13;11;2;0;78.98;4;4;0;0;M2;;;;;;;75-89;1;1
3D Mahjong;DS;Cosmigo;2010-08-16;69.0;4;1;3;0;0.0;0;0;0;0;Cosmigo;Board / Card Game, Board Games, Miscellaneous;No Online Multiplayer;E;;;;50-74;1;1
3D Out Run;3DS;Sega;2015-03-12;87.0;14;12;2;0;82.97;4;4;0;0;M2;Automobile, Arcade, Driving, Racing;No Online Multiplayer;E;;;;75-89;1;1
3D Pixel Racing;Wii;Microforum;2011-07-14;45.0;5;0;1;4;66.02;8;6;1;1;Microforum, Vidia;;;;;;;50-;0;1
3D Sonic the Hedgehog;3DS;Sega;2013-12-05;81.0;6;6;0;0;81.02;9;5;4;0;M2;;;;;;;75-89;1;1
3D Sonic the Hedgehog 2;3DS;Sega;2015-10-08;87.0;10;10;0;0;83.98;14;14;0;0;M2;;;;;;;75-89;1;1
3D Space Harrier;3DS;Sega;2013-11-28;70.0;5;1;4;0;75.0;0;0;0;0;M2;;;;;;;50-74;1;1
3D Streets of Rage II;3DS;Sega;2015-07-23;89.0;15;15;0;0;75.0;3;3;0;0;M2;;;;;;;75-89;1;1
3D Super Hang-On;3DS;Sega;2013-11-28;76.0;6;4;2;0;70.0;0;0;0;0;M2;;;;;;;75-89;1;1
3D Thunder Blade;3DS;Sega;2015-05-14;74.0;8;5;3;0;71.02;1;1;0;0;M2;;;;;;;50-74;1;1
3D Ultra MiniGolf Adventures;Xbox 360;Sierra Entertainment;2007-04-18;66.0;13;2;11;0;61.02;4;2;1;1;Wanako Studios;Golf, Arcade, Individual, Sports, Traditional;1-4;E;;;;50-74;0;0
3Souls;Wii U;Red Column;2016-07-28;49.0;4;0;3;1;66.99;0;0;0;0;Red Column;;;;;;;50-;0;1
4 Elements HD;PlayStation 3;Boolat Games;2011-08-30;65.0;6;2;3;1;75.0;1;0;1;0;Boolat Games;;;;;;;50-74;0;1
428: Shibuya Scramble;PlayStation 4;Spike Chunsoft;2018-09-04;85.0;19;17;2;0;73.01;1;1;0;0;Spike Chunsoft;Action Adventure, General;No Online Multiplayer;T;;;;75-89;0;0
4PM;PC;4PM GAME;2014-07-09;41.0;7;0;2;5;41.99;3;0;1;2;Bojan Brbora;;;;;;;50-;0;1
4x4 EVO 2;Gamecube;VU Games;2002-09-09;56.0;7;1;4;2;0.0;2;1;1;0;Terminal Reality;Driving, Rally / Offroad, Racing;1-4;E;;;;50-74;0;0
4x4 EVO 2;PC;Gathering;2001-10-30;69.0;9;4;4;1;73.98;1;0;1;0;Terminal Reality;Driving, Automobile, Simulation, Racing, Rally / Offroad;1-8;E;;;;50-74;0;0
4x4 EVO 2;Xbox;Gathering;2001-11-14;59.0;15;4;5;6;61.99;4;2;0;2;Terminal Reality;Driving, Rally / Offroad, Racing;1-4;E;;;;50-74;0;0
4x4 Evolution;PlayStation 2;Gathering;2001-02-26;64.0;11;3;7;1;0.0;1;0;0;1;Terminal Reality;Driving, Rally / Offroad, Racing;1-4;E;;;;50-74;0;0
4x4 Evolution;Dreamcast;Gathering;2000-10-30;74.0;13;8;5;0;73.98;0;0;0;0;Terminal Reality;;;;;;;50-74;0;0
4x4 Evolution;PC;Gathering;2000-10-29;73.0;23;14;8;1;63.98;0;0;0;0;Terminal Reality;Driving, Automobile, Simulation, Racing, Rally / Offroad;1-16;E;;;;50-74;0;0
5 Arcade Gems;Wii;Nordcurrent;2010-04-26;30.0;5;0;0;5;0.0;0;0;0;0;Nordcurrent;Compilation, Miscellaneous;1-4;E;;;;50-;0;1
5 Spots Party;Wii;Cosmonaut Games;2009-07-20;56.0;4;0;4;0;0.0;1;1;0;0;Cosmonaut Games;Logic, Miscellaneous, Puzzle;1-4;E;Julio Moruno;;;50-74;0;1
50 Cent: Blood on the Sand;PlayStation 3;THQ;2009-02-24;72.0;37;17;20;0;70.0;12;4;5;3;Swordfish Studios;Shooter, Action, Modern, Arcade, Third-Person;1-4;M;Julian Widdows;Kamran Pasha;;50-74;0;0
50 Cent: Blood on the Sand;Xbox 360;THQ;2009-02-24;71.0;54;23;31;0;63.01;13;8;3;2;Swordfish Studios;Shooter, Action, Modern, Arcade, Third-Person;1-4;M;Julian Widdows;Kamran Pasha;;50-74;0;0
50 Cent: Bulletproof;Xbox;VU Games;2005-11-17;50.0;14;1;7;6;56.99;8;1;1;6;Genuine Games;;;;;Terry Winter;;50-;0;0
50 Cent: Bulletproof;PlayStation 2;VU Games;2005-11-17;47.0;21;2;6;13;65.0;37;16;6;15;Genuine Games;Action Adventure, Modern;No Online Multiplayer;M;;Terry Winter;;50-;0;0
50 Cent: Bulletproof G Unit Edition;Playstation Portable;Vivendi Games;2006-08-29;52.0;25;1;15;9;45.0;3;0;0;3;High Voltage Software;Action Adventure, Modern, General;1-4;M;;;;50-74;1;1
50 Pinch Barrage!!;3DS;Mobile & Game Studio;2015-03-12;72.0;5;3;1;1;0.0;0;0;0;0;Mobile & Game Studio;;;;;;;50-74;1;1
60 Parsecs!;PC;Robot Gentleman;2018-09-18;70.0;8;3;5;0;63.01;2;0;2;0;Robot Gentleman;;No Online Multiplayer;;;;;50-74;0;1
7 Days to Die;PlayStation 4;Telltale Games;2016-06-28;45.0;16;1;6;9;58.01;76;35;21;20;The Fun Pimps;Shooter, Action, Survival, Arcade, Sandbox, Action Adventure, First-Person;1-4;M;;;;50-;0;0
7 Days to Die;Xbox One;Telltale Games;2016-06-28;35.0;17;0;3;14;53.98;31;13;6;12;The Fun Pimps;Shooter, Action, Survival, Arcade, Sandbox, Action Adventure, First-Person;1-4;M;;;;50-;0;0
7 Grand Steps;PC;Mousechief;2013-06-07;69.0;4;2;1;1;71.02;14;7;6;1;Mousechief;;;;;;;50-74;0;1
7 Wonders II;DS;Avanquest Software;2010-12-08;60.0;5;0;5;0;0.0;0;0;0;0;MumboJumbo;;;;;;;50-74;1;0
7 Wonders of the Ancient World;DS;MumboJumbo;2007-09-17;60.0;7;0;6;1;82.97;32;29;3;0;Hot Lava Games;General, Miscellaneous, Puzzle;No Online Multiplayer;E;;;;50-74;1;0
7 Wonders of the Ancient World;Playstation Portable;MumboJumbo;2007-04-23;51.0;10;0;6;4;0.0;2;0;2;0;MumboJumbo;General, Miscellaneous, Puzzle;No Online Multiplayer;E;;;;50-74;1;0
7554;PC;Emobi Games;2012-07-20;41.0;7;0;2;5;48.01;6;2;2;2;Emobi Games;;;;;;;50-;0;1
7th Dragon III Code: VFD;3DS;Sega;2016-07-12;76.0;30;18;12;0;78.98;8;7;1;0;Sega;Japanese-Style, General, Role-Playing;No Online Multiplayer;T;;;Yuzo Koshiro;75-89;1;1
8-Bit Adventure Anthology: Volume One;Xbox One;Abstraction Games;2017-10-31;79.0;6;6;0;0;0.0;1;1;0;0;Abstraction Games;Compilation, Miscellaneous;No Online Multiplayer;E10+;;;;75-89;0;0
8-Bit Adventure Anthology: Volume One;PlayStation 4;Abstraction Games;2017-10-31;71.0;7;2;5;0;0.0;0;0;0;0;Abstraction Games;Compilation, Miscellaneous;No Online Multiplayer;E10+;;;;50-74;0;0
8-Bit Armies;Xbox One;Soedesco;2018-09-21;79.0;4;3;1;0;0.0;1;1;0;0;Petroglyph, Soedesco;;;;;;;75-89;0;0
8-Bit Armies;PlayStation 4;Soedesco;2018-09-21;70.0;5;2;3;0;0.0;0;0;0;0;Petroglyph, Soedesco;;;;;;;50-74;0;0
