title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Ultimate Spider-Man;;Activision;Sep 21, 2005;76;36;22;14;0;7.5;10;7;2;1;Treyarch;Action, Beat-'Em-Up;1 Player;T;;;;https://www.metacritic.com/game/gamecube/ultimate-spider-man
Marvel Nemesis: Rise of the Imperfects;;EA Games;Sep 20, 2005;54;19;2;12;5;5.8;9;3;4;2;EA Canada, Nihilistic;Action, Fighting, 3D;1-2;T;;;;https://www.metacritic.com/game/gamecube/marvel-nemesis-rise-of-the-imperfects
X-Men Legends II: Rise of Apocalypse;;Activision;Sep 20, 2005;82;34;30;4;0;6.2;6;6;0;0;Raven Software;Role-Playing, Action RPG;1-4;T;;;Gegor Narholz;https://www.metacritic.com/game/gamecube/x-men-legends-ii-rise-of-apocalypse
Tiger Woods PGA Tour 06;;EA Sports;Sep 20, 2005;82;19;18;1;0;5.8;3;1;1;1;EA Sports;Sports, Traditional, Golf, Sim;1-4;E;;;;https://www.metacritic.com/game/gamecube/tiger-woods-pga-tour-06
Mark Davis Pro Bass Challenge;;Natsume;Sep 20, 2005;;;;;;tbd;1;1;0;0;SIMS;;;;;;;https://www.metacritic.com/game/gamecube/mark-davis-pro-bass-challenge
Battalion Wars;;Nintendo;Sep 19, 2005;76;43;28;14;1;8.5;9;9;0;0;Kuju Entertainment;Action, Shooter, Third-Person, Modern;1 Player;T;;;;https://www.metacritic.com/game/gamecube/battalion-wars
Tak: The Great Juju Challenge;;THQ;Sep 19, 2005;75;17;11;6;0;8.1;2;2;0;0;Avalanche Software;Action, Platformer, 3D;1-2;E;;;;https://www.metacritic.com/game/gamecube/tak-the-great-juju-challenge
Animaniacs: The Great Edgar Hunt;;Ignition Entertainment;Sep 18, 2005;65;14;2;11;1;tbd;0;0;0;0;Warthog;Action, Platformer, 3D;24  Online;E;;;;https://www.metacritic.com/game/gamecube/animaniacs-the-great-edgar-hunt
World Series of Poker;;Activision;Sep 14, 2005;44;5;0;1;4;tbd;1;0;1;0;Activision;Miscellaneous, Parlor, Gambling;1 Player;E10+;;;;https://www.metacritic.com/game/gamecube/world-series-of-poker
Cabela's Outdoor Adventures;;Activision;Sep 13, 2005;;;;;;8.8;6;5;1;0;MagicWand;;;;;;;https://www.metacritic.com/game/gamecube/cabelas-outdoor-adventures
Scooby-Doo! Unmasked;;THQ;Sep 12, 2005;64;12;4;7;1;6.4;2;2;0;0;Artificial Mind and Movement;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/gamecube/scooby-doo!-unmasked
One Piece Grand Battle;;Bandai;Sep  7, 2005;67;14;6;5;3;7.1;2;0;1;1;Ganbarion;Action, Fighting, 3D;1-2;T;;;;https://www.metacritic.com/game/gamecube/one-piece-grand-battle
NHL 06;;EA Sports;Sep  6, 2005;78;18;12;6;0;8.4;1;1;0;0;EA Canada;Sports, Traditional, Ice Hockey, Sim;1-4;E10+;;;;https://www.metacritic.com/game/gamecube/nhl-06
