title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Point Blank 3;;Namco;May 16, 2001;78;5;3;2;0;8.6;3;2;1;0;Tose Software;Action, Shooter, Light Gun;1-2;T;;;;https://www.metacritic.com/game/playstation/point-blank-3
Mat Hoffman's Pro BMX;;Activision;May 14, 2001;80;15;14;1;0;8.8;4;3;1;0;Shaba Games;Sports, Alternative, Biking;1-2;E;;;;https://www.metacritic.com/game/playstation/mat-hoffmans-pro-bmx
Dance Dance Revolution;;Konami;May  9, 2001;90;8;8;0;0;8.4;67;63;2;2;Konami;Miscellaneous, Rhythm, Dancing;1-2;E;Hirotaka Ishikawa;;;https://www.metacritic.com/game/playstation/dance-dance-revolution
MLB 2002;;SCEA;May  7, 2001;76;5;3;2;0;8.1;6;5;0;1;989 Sports;;;;;;;https://www.metacritic.com/game/playstation/mlb-2002
Spec Ops: Ranger Elite;;Take-Two Interactive;Apr 29, 2001;48;4;0;1;3;6.8;5;5;0;0;Runecraft;Action, Shooter, Third-Person, Tactical, Modern;1-2;T;;;;https://www.metacritic.com/game/playstation/spec-ops-ranger-elite
KISS Pinball;;Take-Two Interactive;Apr 25, 2001;26;7;0;2;5;3.8;5;3;0;2;Wildfire Studios;Miscellaneous, Parlor, Pinball;1 Player;T;;;;https://www.metacritic.com/game/playstation/kiss-pinball
The King of Fighters '99;;Agetec Inc.;Apr 22, 2001;;;;;;8.8;26;25;1;0;SNK;Action, Fighting, 2D;1-2;T;;;;https://www.metacritic.com/game/playstation/the-king-of-fighters-99
Metal Slug X;;Agetec Inc.;Apr 14, 2001;85;9;8;1;0;8.7;8;8;0;0;ProSoft;Action, Shooter, Scrolling;1-2;T;;;;https://www.metacritic.com/game/playstation/metal-slug-x
The Simpsons Wrestling;;Activision;Apr 12, 2001;32;15;2;2;11;5.5;11;4;4;3;Big Ape Productions;Action, Fighting, Wrestling;1-2;T;;;;https://www.metacritic.com/game/playstation/the-simpsons-wrestling
Smurf Racer!;;Infogrames;Apr  1, 2001;52;6;1;3;2;tbd;1;1;0;0;Artificial Mind and Movement;;;;;;;https://www.metacritic.com/game/playstation/smurf-racer!
