title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Totally Spies! 2: Undercover;GBA;Atari;Nov 17, 2006;;;;;;tbd;;;;;Mistic Software;Action, General;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/totally-spies!-2-undercover
Shrek Smash n' Crash Racing;GBA;Activision;Nov 15, 2006;;;;;;tbd;1.0;1.0;0.0;0.0;Torus Games;Driving, Racing, Arcade;1-2;E;;;;https://www.metacritic.com/game/game-boy-advance/shrek-smash-n-crash-racing
Super Robot Taisen: Original Generation 2;GBA;Atlus Co.;Nov 14, 2006;82.0;7.0;6.0;1.0;0.0;8.1;0.0;0.0;0.0;0.0;Banpresto;Strategy, Turn-Based, Sci-Fi;1 Player;T;;;;https://www.metacritic.com/game/game-boy-advance/super-robot-taisen-original-generation-2
Eragon;GBA;Sierra Entertainment;Nov 14, 2006;70.0;12.0;4.0;8.0;0.0;7.0;4.0;3.0;0.0;1.0;Amaze Entertainment;Role-Playing, Console-style RPG;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/eragon
Tomb Raider: Legend;GBA;Eidos Interactive;Nov 14, 2006;;;;;;7.4;1.0;1.0;0.0;0.0;Human Soft;Action Adventure, Modern;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/tomb-raider-legend
Charlotte's Web;GBA;Sega;Nov 14, 2006;;;;;;tbd;0.0;0.0;0.0;0.0;Backbone Emeryville;Action, General;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/charlottes-web
Happy Feet;GBA;Warner Bros. Interactive Entertainment;Nov 14, 2006;;;;;;tbd;0.0;0.0;0.0;0.0;Artificial Mind and Movement;Adventure, General;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/happy-feet
Bionicle Heroes;GBA;Eidos Interactive;Nov 14, 2006;;;;;;tbd;1.0;1.0;0.0;0.0;Amaze Entertainment;Action Adventure, Sci-Fi;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/bionicle-heroes
Sonic the Hedgehog Genesis;GBA;Sega;Nov 14, 2006;33.0;6.0;0.0;1.0;5.0;2.3;42.0;4.0;4.0;34.0;Sonic Team;Action, Platformer, 2D;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/sonic-the-hedgehog-genesis
Spider-Man: Battle for New York;GBA;Activision;Nov 14, 2006;;;;;;tbd;0.0;0.0;0.0;0.0;Torus Games;Action, Platformer, 2D;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/spider-man-battle-for-new-york
